symbol,order_type,lots,status,open_price,close_price,stop_loss,take_profit,magic_number,order_number,open_time,close_time,profit
USDJPY60,1,10,2,78.41,78.394,0,0,1234,24135,2011-07-25 10:38:00 +0900,2011-07-25 12:23:00 +0900,-0.16
USDJPY60,2,5,2,78.394,78.38,0,0,1235,24136,2011-07-25 12:23:00 +0900,2011-07-25 13:13:00 +0900,0.07
USDJPY60,1,10,2,78.38,78.424,0,0,1234,24137,2011-07-25 13:13:00 +0900,2011-07-25 13:38:00 +0900,0.44
USDJPY60,2,5,2,78.424,78.438,0,0,1235,24138,2011-07-25 13:38:00 +0900,2011-07-25 15:09:00 +0900,-0.07
USDJPY60,1,10,2,78.438,78.181,0,0,1234,24139,2011-07-25 15:09:00 +0900,2011-07-25 19:44:00 +0900,-2.57
USDJPY60,2,5,2,78.181,78.22,0,0,1235,24140,2011-07-25 19:44:00 +0900,2011-07-25 21:14:00 +0900,-0.195
USDJPY60,1,10,2,78.22,78.239,0,0,1234,24141,2011-07-25 21:14:00 +0900,2011-07-25 23:09:00 +0900,0.19
USDJPY60,2,5,2,78.239,78.201,0,0,1235,24142,2011-07-25 23:09:00 +0900,2011-07-25 23:37:00 +0900,0.19
USDJPY60,1,10,2,78.201,78.229,0,0,1234,24143,2011-07-25 23:37:00 +0900,2011-07-25 23:41:00 +0900,0.28
USDJPY60,2,5,2,78.229,78.338,0,0,1235,24144,2011-07-25 23:41:00 +0900,2011-07-26 01:37:00 +0900,-0.545
USDJPY60,1,10,2,78.338,78.354,0,0,1234,24145,2011-07-26 01:37:00 +0900,2011-07-26 02:03:00 +0900,0.16
USDJPY60,2,5,2,78.354,78.288,0,0,1235,24146,2011-07-26 02:03:00 +0900,2011-07-26 02:26:00 +0900,0.33
USDJPY60,1,10,2,78.288,78.259,0,0,1234,24147,2011-07-26 02:26:00 +0900,2011-07-26 04:04:00 +0900,-0.29
USDJPY60,2,5,2,78.259,78.291,0,0,1235,24148,2011-07-26 04:04:00 +0900,2011-07-26 06:01:00 +0900,-0.16
USDJPY60,1,10,2,78.291,78.311,0,0,1234,24149,2011-07-26 06:01:00 +0900,2011-07-26 07:21:00 +0900,0.2
USDJPY60,2,5,2,78.311,78.307,0,0,1235,24150,2011-07-26 07:21:00 +0900,2011-07-26 07:56:00 +0900,0.02
USDJPY60,1,10,2,78.307,78.309,0,0,1234,24151,2011-07-26 07:56:00 +0900,2011-07-26 07:59:00 +0900,0.02
USDJPY60,2,5,2,78.309,78.257,0,0,1235,24152,2011-07-26 07:59:00 +0900,2011-07-26 08:13:00 +0900,0.26
USDJPY60,1,10,2,78.257,78.325,0,0,1234,24153,2011-07-26 08:13:00 +0900,2011-07-26 08:43:00 +0900,0.68
USDJPY60,2,5,2,78.325,78.247,0,0,1235,24154,2011-07-26 08:43:00 +0900,2011-07-26 09:59:00 +0900,0.39
USDJPY60,1,10,2,78.247,78.244,0,0,1234,24155,2011-07-26 09:59:00 +0900,2011-07-26 11:16:00 +0900,-0.03
USDJPY60,2,5,2,78.244,78.147,0,0,1235,24156,2011-07-26 11:16:00 +0900,2011-07-26 12:05:00 +0900,0.485
USDJPY60,1,10,2,78.147,78.074,0,0,1234,24157,2011-07-26 12:05:00 +0900,2011-07-26 14:53:00 +0900,-0.73
USDJPY60,2,5,2,78.074,78.052,0,0,1235,24158,2011-07-26 14:53:00 +0900,2011-07-26 14:59:00 +0900,0.11
